日期,日期間距,買進匯率,賣出匯率,差距
20060102,13150,4.0456,4.0856,-1.0
20060103,13151,4.0244,4.0644,-1.0
20060104,13152,0.0019,0.0022,-1.0
20060105,13153,0.0019,0.0022,-1.0
20060106,13154,0.0019,0.0022,-1.0
20060109,13157,3.9414,3.9814,-1.0
20060110,13158,3.9494,3.9894,-1.0
20060111,13159,3.9555,3.9955,-1.0
20060112,13160,3.9322,3.9722,-1.0
20060113,13161,3.9451,3.9851,-1.0
20060116,13164,3.9375,3.9775,-1.0
20060117,13165,3.946,3.986,-1.0
20060118,13166,3.9606,4.0006,-1.0
20060119,13167,3.9628,4.0028,-1.0
20060120,13168,3.9622,4.0022,-1.0
20060123,13171,3.9466,3.9866,-1.0
20060124,13172,3.9452,3.9852,-1.0
20060125,13173,3.9448,3.9848,-1.0
20060126,13174,3.9458,3.9858,-1.0
20060127,13175,3.9466,3.9866,-1.0
20060203,13182,3.9602,4.0002,-1.0
20060206,13185,3.9605,4.0005,-1.0
20060207,13186,3.9795,4.0195,-1.0
20060208,13187,3.9952,4.0352,-1.0
20060209,13188,4.0051,4.0451,-1.0
20060210,13189,3.9868,4.0268,-1.0
20060213,13192,4.0028,4.0428,-1.0
20060214,13193,3.9933,4.0333,-1.0
20060215,13194,4.0,4.04,-1.0
20060216,13195,4.006,4.046,-1.0
20060217,13196,4.0038,4.0438,-1.0
20060220,13199,4.0055,4.0455,-1.0
20060221,13200,4.0159,4.0559,-1.0
20060222,13201,4.0365,4.0765,-1.0
20060223,13202,4.0252,4.0652,-1.0
20060224,13203,4.0189,4.0589,-1.0
20060227,13206,4.0156,4.0556,-1.0
20060301,13208,3.9964,4.0364,-1.0
20060302,13209,3.9993,4.0393,-1.0
20060303,13210,4.0112,4.0512,-1.0
20060306,13213,4.02,4.06,-1.0
20060307,13214,4.0264,4.0664,-1.0
20060308,13215,4.0223,4.0623,-1.0
20060309,13216,4.0203,4.0603,-1.0
20060310,13217,4.0194,4.0594,-1.0
20060313,13220,4.0,4.0588,-1.0
20060314,13221,4.0103,4.0503,-1.0
20060315,13222,4.01,4.05,-1.0
20060316,13223,4.0169,4.0569,-1.0
20060317,13224,4.0179,4.0579,-1.0
20060320,13227,0.0019,0.0022,-1.0
20060321,13228,4.0282,4.0682,-1.0
20060322,13229,4.0332,4.0732,-1.0
20060323,13230,4.0381,4.0781,-1.0
20060324,13231,0.0019,0.0022,-1.0
20060327,13234,4.04,4.08,-1.0
20060328,13235,4.0412,4.0812,-1.0
20060329,13236,4.0404,4.0804,-1.0
20060330,13237,4.0339,4.0739,-1.0
20060331,13238,4.0286,4.0686,-1.0
20060403,13241,4.0433,4.0833,-1.0
20060404,13242,4.0302,4.0702,-1.0
20060406,13244,4.0161,4.0561,-1.0
20060407,13245,4.0146,4.0546,-1.0
20060410,13248,4.029,4.069,-1.0
20060411,13249,0.0019,0.0022,-1.0
20060412,13250,0.0019,0.0022,-1.0
20060413,13251,0.0019,0.0022,-1.0
20060414,13252,0.0019,0.0022,-1.0
20060417,13255,0.0019,0.0022,-1.0
20060418,13256,0.0019,0.0022,-1.0
20060419,13257,0.0019,0.0022,-1.0
20060420,13258,0.0019,0.0022,-1.0
20060421,13259,0.0019,0.0022,-1.0
20060424,13262,0.0019,0.0022,-1.0
20060425,13263,0.0019,0.0022,-1.0
20060426,13264,0.0019,0.0022,-1.0
20060427,13265,0.0019,0.0022,-1.0
20060428,13266,0.0019,0.0022,-1.0
20060502,13270,0.0018,0.0021,-1.0
20060503,13271,0.0018,0.0021,-1.0
20060504,13272,0.0018,0.0021,-1.0
20060505,13273,0.0018,0.0021,-1.0
20060508,13276,0.0018,0.0021,-1.0
20060509,13277,0.0018,0.0021,-1.0
20060510,13278,0.0018,0.0021,-1.0
20060511,13279,0.0018,0.0021,-1.0
20060512,13280,0.0018,0.0021,-1.0
20060515,13283,0.0018,0.0021,-1.0
20060516,13284,3.9512,3.9912,-1.0
20060517,13285,3.9249,3.9649,-1.0
20060518,13286,3.9562,3.9962,-1.0
20060519,13287,3.965,4.005,-1.0
20060522,13290,3.986,4.026,-1.0
20060523,13291,3.9688,4.0088,-1.0
20060524,13292,3.9693,4.0093,-1.0
20060525,13293,3.9802,4.0202,-1.0
20060526,13294,3.9739,4.0139,-1.0
20060529,13297,3.9706,4.0106,-1.0
20060530,13298,3.9687,4.0087,-1.0
20060601,13300,3.9806,4.0206,-1.0
20060602,13301,3.979,4.019,-1.0
20060605,13304,3.9806,4.0206,-1.0
20060606,13305,3.9804,4.0204,-1.0
20060607,13306,3.9958,4.0358,-1.0
20060608,13307,4.0341,4.0741,-1.0
20060609,13308,4.0279,4.0679,-1.0
20060612,13311,4.0394,4.0794,-1.0
20060613,13312,4.0596,4.0996,-1.0
20060614,13313,4.053,4.093,-1.0
20060615,13314,4.0475,4.0875,-1.0
20060616,13315,4.0405,4.0805,-1.0
20060619,13318,4.0542,4.0942,-1.0
20060620,13319,4.0516,4.0916,-1.0
20060621,13320,4.059,4.099,-1.0
20060622,13321,4.0613,4.1013,-1.0
20060623,13322,4.0692,4.1092,-1.0
20060626,13325,4.0693,4.1093,-1.0
20060627,13326,4.0635,4.1035,-1.0
20060628,13327,4.0624,4.1024,-1.0
20060629,13328,4.0572,4.0972,-1.0
20060630,13329,4.0298,4.0698,-1.0
20060703,13332,4.0206,4.0606,-1.0
20060704,13333,4.0103,4.0503,-1.0
20060705,13334,4.03,4.07,-1.0
20060706,13335,4.0393,4.0793,-1.0
20060707,13336,4.0341,4.0741,-1.0
20060710,13339,4.0287,4.0687,-1.0
20060711,13340,4.0405,4.0805,-1.0
20060712,13341,4.0447,4.0847,-1.0
20060713,13342,4.0553,4.0953,-1.0
20060714,13343,4.0682,4.1082,-1.0
20060717,13346,4.0878,4.1278,-1.0
20060718,13347,4.086,4.126,-1.0
20060719,13348,4.0912,4.1312,-1.0
20060720,13349,4.0764,4.1164,-1.0
20060721,13350,4.0812,4.1212,-1.0
20060724,13353,4.0949,4.1349,-1.0
20060725,13354,4.0852,4.1252,-1.0
20060726,13355,4.0923,4.1323,-1.0
20060727,13356,4.0863,4.1263,-1.0
20060728,13357,4.0916,4.1316,-1.0
20060731,13360,4.0918,4.1318,-1.0
20060801,13361,4.0962,4.1362,-1.0
20060802,13362,4.103,4.143,-1.0
20060803,13363,4.1001,4.1401,-1.0
20060804,13364,4.0997,4.1397,-1.0
20060807,13367,4.0957,4.1357,-1.0
20060808,13368,4.0956,4.1356,-1.0
20060809,13369,4.0903,4.1303,-1.0
20060810,13370,4.0692,4.1092,-1.0
20060811,13371,4.0715,4.1115,-1.0
20060814,13374,4.0792,4.1192,-1.0
20060815,13375,4.0773,4.1173,-1.0
20060816,13376,4.0795,4.1195,-1.0
20060817,13377,4.0692,4.1092,-1.0
20060818,13378,4.0754,4.1154,-1.0
20060821,13381,4.0841,4.1241,-1.0
20060822,13382,4.0923,4.1323,-1.0
20060823,13383,4.0923,4.1323,-1.0
20060824,13384,4.1002,4.1402,-1.0
20060825,13385,4.1056,4.1456,-1.0
20060828,13388,4.1092,4.1492,-1.0
20060829,13389,4.109,4.149,-1.0
20060830,13390,4.1144,4.1544,-1.0
20060831,13391,4.1163,4.1563,-1.0
20060901,13392,4.1141,4.1541,-1.0
20060904,13395,4.1037,4.1437,-1.0
20060905,13396,4.1064,4.1464,-1.0
20060906,13397,4.1071,4.1471,-1.0
20060907,13398,4.1142,4.1542,-1.0
20060908,13399,4.1149,4.1549,-1.0
20060911,13402,4.1179,4.1579,-1.0
20060912,13403,4.1213,4.1613,-1.0
20060913,13404,4.1181,4.1581,-1.0
20060914,13405,4.1228,4.1628,-1.0
20060915,13406,4.1263,4.1663,-1.0
20060918,13409,4.1241,4.1641,-1.0
20060919,13410,4.126,4.166,-1.0
20060920,13411,4.1313,4.1713,-1.0
20060921,13412,4.131,4.171,-1.0
20060922,13413,4.1408,4.1808,-1.0
20060925,13416,4.1392,4.1792,-1.0
20060926,13417,4.1403,4.1803,-1.0
20060927,13418,4.1496,4.1896,-1.0
20060928,13419,4.1583,4.1983,-1.0
20060929,13420,4.1651,4.2051,-1.0
20061002,13423,4.1695,4.2095,-1.0
20061003,13424,4.1601,4.2001,-1.0
20061004,13425,4.1682,4.2082,-1.0
20061005,13426,4.1647,4.2047,-1.0
20061011,13432,4.1857,4.2257,-1.0
20061012,13433,4.1794,4.2194,-1.0
20061013,13434,4.1728,4.2128,-1.0
20061014,13435,4.178,4.218,-1.0
20061016,13437,4.1803,4.2203,-1.0
20061017,13438,4.1729,4.2129,-1.0
20061018,13439,4.1775,4.2175,-1.0
20061019,13440,4.1773,4.2173,-1.0
20061020,13441,4.1816,4.2216,-1.0
20061023,13444,4.1922,4.2322,-1.0
20061024,13445,4.1936,4.2336,-1.0
20061025,13446,4.1972,4.2372,-1.0
20061026,13447,4.1934,4.2334,-1.0
20061027,13448,4.1978,4.2378,-1.0
20061030,13451,4.1973,4.2373,-1.0
20061031,13452,4.2016,4.2416,-1.0
20061101,13453,4.1919,4.2319,-1.0
20061102,13454,4.1739,4.2139,-1.0
20061103,13455,4.1617,4.2017,-1.0
20061106,13458,4.1622,4.2022,-1.0
