日期,日期間距,買進匯率,賣出匯率,差距
20060102,13150,38.64,39.04,-1.0
20060103,13151,38.62,39.02,-1.0
20060104,13152,38.89,39.29,-1.0
20060105,13153,38.52,38.92,-1.0
20060106,13154,38.73,39.13,-1.0
20060109,13157,38.49,38.89,-1.0
20060110,13158,38.44,38.84,-1.0
20060111,13159,38.47,38.87,-1.0
20060112,13160,38.51,38.91,-1.0
20060113,13161,38.41,38.81,-1.0
20060116,13164,38.59,38.99,-1.0
20060117,13165,38.64,39.04,-1.0
20060118,13166,38.75,39.15,-1.0
20060119,13167,38.66,39.06,-1.0
20060120,13168,38.6,39.0,-1.0
20060123,13171,38.96,39.36,-1.0
20060124,13172,39.11,39.51,-1.0
20060125,13173,39.05,39.45,-1.0
20060126,13174,39.0,39.4,-1.0
20060127,13175,38.84,39.24,-1.0
20060203,13182,38.56,38.96,-1.0
20060206,13185,38.32,38.72,-1.0
20060207,13186,38.45,38.85,-1.0
20060208,13187,38.52,38.92,-1.0
20060209,13188,38.63,39.03,-1.0
20060210,13189,38.44,38.84,-1.0
20060213,13192,38.32,38.72,-1.0
20060214,13193,38.28,38.68,-1.0
20060215,13194,38.36,38.76,-1.0
20060216,13195,38.32,38.72,-1.0
20060217,13196,38.28,38.68,-1.0
20060220,13199,38.48,38.88,-1.0
20060221,13200,38.49,38.89,-1.0
20060222,13201,38.69,39.09,-1.0
20060223,13202,38.57,38.97,-1.0
20060224,13203,38.5,38.9,-1.0
20060227,13206,38.29,38.69,-1.0
20060301,13208,38.34,38.74,-1.0
20060302,13209,38.37,38.77,-1.0
20060303,13210,38.76,39.16,-1.0
20060306,13213,39.0,39.4,-1.0
20060307,13214,38.67,39.07,-1.0
20060308,13215,38.57,38.97,-1.0
20060309,13216,38.65,39.05,-1.0
20060310,13217,38.56,38.96,-1.0
20060313,13220,38.68,39.08,-1.0
20060314,13221,38.67,39.07,-1.0
20060315,13222,38.77,39.17,-1.0
20060316,13223,38.93,39.33,-1.0
20060317,13224,39.22,39.62,-1.0
20060320,13227,39.29,39.69,-1.0
20060321,13228,39.25,39.65,-1.0
20060322,13229,39.16,39.56,-1.0
20060323,13230,39.12,39.52,-1.0
20060324,13231,38.9,39.3,-1.0
20060327,13234,39.03,39.43,-1.0
20060328,13235,39.07,39.47,-1.0
20060329,13236,38.88,39.28,-1.0
20060330,13237,39.05,39.45,-1.0
20060331,13238,39.18,39.58,-1.0
20060403,13241,39.08,39.48,-1.0
20060404,13242,39.32,39.72,-1.0
20060406,13244,39.53,39.93,-1.0
20060407,13245,39.2,39.6,-1.0
20060410,13248,39.09,39.49,-1.0
20060411,13249,39.15,39.55,-1.0
20060412,13250,39.31,39.71,-1.0
20060413,13251,39.2,39.6,-1.0
20060414,13252,39.11,39.51,-1.0
20060417,13255,39.35,39.75,-1.0
20060418,13256,39.54,39.94,-1.0
20060419,13257,39.84,40.24,-1.0
20060420,13258,39.73,40.13,-1.0
20060421,13259,39.6,40.0,-1.0
20060424,13262,39.4,39.8,-1.0
20060425,13263,39.49,39.89,-1.0
20060426,13264,39.56,39.96,-1.0
20060427,13265,39.51,39.91,-1.0
20060428,13266,39.84,40.24,-1.0
20060502,13270,39.82,40.22,-1.0
20060503,13271,39.73,40.13,-1.0
20060504,13272,39.72,40.12,-1.0
20060505,13273,40.0,40.4,-1.0
20060508,13276,39.79,40.19,-1.0
20060509,13277,39.69,40.09,-1.0
20060510,13278,39.88,40.28,-1.0
20060511,13279,39.74,40.14,-1.0
20060512,13280,40.29,40.69,-1.0
20060515,13283,40.52,40.92,-1.0
20060516,13284,40.59,40.99,-1.0
20060517,13285,40.53,40.93,-1.0
20060518,13286,40.47,40.87,-1.0
20060519,13287,40.61,41.01,-1.0
20060522,13290,40.77,41.17,-1.0
20060523,13291,40.85,41.25,-1.0
20060524,13292,40.88,41.28,-1.0
20060525,13293,40.78,41.18,-1.0
20060526,13294,40.81,41.21,-1.0
20060529,13297,40.64,41.04,-1.0
20060530,13298,40.95,41.35,-1.0
20060601,13300,40.74,41.14,-1.0
20060602,13301,40.88,41.28,-1.0
20060605,13304,41.34,41.74,-1.0
20060606,13305,41.21,41.61,-1.0
20060607,13306,41.1,41.5,-1.0
20060608,13307,41.27,41.67,-1.0
20060609,13308,40.85,41.25,-1.0
20060612,13311,40.85,41.25,-1.0
20060613,13312,40.86,41.26,-1.0
20060614,13313,40.83,41.23,-1.0
20060615,13314,40.86,41.26,-1.0
20060616,13315,40.92,41.32,-1.0
20060619,13318,40.84,41.24,-1.0
20060620,13319,40.82,41.22,-1.0
20060621,13320,40.98,41.38,-1.0
20060622,13321,41.04,41.44,-1.0
20060623,13322,40.91,41.31,-1.0
20060626,13325,40.93,41.33,-1.0
20060627,13326,40.98,41.38,-1.0
20060628,13327,40.84,41.24,-1.0
20060629,13328,40.72,41.12,-1.0
20060630,13329,40.95,41.35,-1.0
20060703,13332,41.07,41.47,-1.0
20060704,13333,41.1,41.5,-1.0
20060705,13334,41.11,41.51,-1.0
20060706,13335,41.15,41.55,-1.0
20060707,13336,41.2,41.6,-1.0
20060710,13339,41.2,41.6,-1.0
20060711,13340,41.13,41.53,-1.0
20060712,13341,41.23,41.63,-1.0
20060713,13342,41.26,41.66,-1.0
20060714,13343,41.22,41.62,-1.0
20060717,13346,41.02,41.42,-1.0
20060718,13347,41.02,41.42,-1.0
20060719,13348,40.89,41.29,-1.0
20060720,13349,41.07,41.47,-1.0
20060721,13350,41.28,41.68,-1.0
20060724,13353,41.28,41.68,-1.0
20060725,13354,41.27,41.67,-1.0
20060726,13355,41.14,41.54,-1.0
20060727,13356,41.53,41.93,-1.0
20060728,13357,41.42,41.82,-1.0
20060731,13360,41.57,41.97,-1.0
20060801,13361,41.6,42.0,-1.0
20060802,13362,41.9,42.3,-1.0
20060803,13363,41.76,42.16,-1.0
20060804,13364,41.84,42.24,-1.0
20060807,13367,42.05,42.45,-1.0
20060808,13368,41.95,42.35,-1.0
20060809,13369,41.93,42.33,-1.0
20060810,13370,41.71,42.11,-1.0
20060811,13371,41.53,41.93,-1.0
20060814,13374,41.53,41.93,-1.0
20060815,13375,41.52,41.92,-1.0
20060816,13376,41.67,42.07,-1.0
20060817,13377,41.79,42.19,-1.0
20060818,13378,41.71,42.11,-1.0
20060821,13381,41.95,42.35,-1.0
20060822,13382,41.96,42.36,-1.0
20060823,13383,41.85,42.25,-1.0
20060824,13384,41.85,42.25,-1.0
20060825,13385,41.81,42.21,-1.0
20060828,13388,41.97,42.37,-1.0
20060829,13389,41.97,42.37,-1.0
20060830,13390,42.04,42.44,-1.0
20060831,13391,42.09,42.49,-1.0
20060901,13392,41.93,42.33,-1.0
20060904,13395,41.89,42.29,-1.0
20060905,13396,41.84,42.24,-1.0
20060906,13397,41.9,42.3,-1.0
20060907,13398,41.86,42.26,-1.0
20060908,13399,41.63,42.03,-1.0
20060911,13402,41.66,42.06,-1.0
20060912,13403,41.64,42.04,-1.0
20060913,13404,41.51,41.91,-1.0
20060914,13405,41.57,41.97,-1.0
20060915,13406,41.67,42.07,-1.0
20060918,13409,41.54,41.94,-1.0
20060919,13410,41.53,41.93,-1.0
20060920,13411,41.5,41.9,-1.0
20060921,13412,41.67,42.07,-1.0
20060922,13413,42.04,42.44,-1.0
20060925,13416,41.92,42.32,-1.0
20060926,13417,41.8,42.2,-1.0
20060927,13418,41.64,42.04,-1.0
20060928,13419,41.76,42.16,-1.0
20060929,13420,41.75,42.15,-1.0
20061002,13423,41.82,42.22,-1.0
20061003,13424,41.92,42.32,-1.0
20061004,13425,41.92,42.32,-1.0
20061005,13426,41.87,42.27,-1.0
20061011,13432,41.59,41.99,-1.0
20061012,13433,41.55,41.95,-1.0
20061013,13434,41.42,41.82,-1.0
20061014,13435,41.33,41.73,-1.0
20061016,13437,41.43,41.83,-1.0
20061017,13438,41.39,41.79,-1.0
20061018,13439,41.45,41.85,-1.0
20061019,13440,41.5,41.9,-1.0
20061020,13441,41.72,42.12,-1.0
20061023,13444,41.6,42.0,-1.0
20061024,13445,41.54,41.94,-1.0
20061025,13446,41.69,42.09,-1.0
20061026,13447,41.91,42.31,-1.0
20061027,13448,42.0,42.4,-1.0
20061030,13451,42.05,42.45,-1.0
20061031,13452,42.02,42.42,-1.0
20061101,13453,42.07,42.47,-1.0
20061102,13454,41.9,42.3,-1.0
20061103,13455,41.83,42.23,-1.0
20061106,13458,41.68,42.08,-1.0
20061107,13459,41.69,42.09,-1.0
20061108,13460,41.78,42.18,-1.0
20061109,13461,41.83,42.23,-1.0
20061110,13462,42.0,42.4,-1.0
20061113,13465,41.89,42.29,-1.0
20061114,13466,41.83,42.23,-1.0
20061115,13467,41.91,42.31,-1.0
20061116,13468,41.91,42.31,-1.0
20061117,13469,41.89,42.29,-1.0
20061120,13472,42.08,42.48,-1.0
20061121,13473,41.98,42.38,-1.0
20061122,13474,42.02,42.42,-1.0
20061123,13475,42.21,42.61,-1.0
20061124,13476,42.4,42.8,-1.0
20061127,13479,42.73,43.13,-1.0
20061128,13480,42.75,43.15,-1.0
20061129,13481,42.63,43.03,-1.0
20061130,13482,42.55,42.95,-1.0
20061201,13483,42.73,43.13,-1.0
20061204,13486,42.9,43.3,-1.0
20061205,13487,42.79,43.19,-1.0
20061206,13488,42.8,43.2,-1.0
20061207,13489,42.82,43.22,-1.0
