日期,日期間距,買進匯率,賣出匯率,差距
20060102,13150,0.2767,0.2807,-1.0
20060103,13151,0.2767,0.2807,-1.0
20060104,13152,0.2778,0.2818,-1.0
20060105,13153,0.2744,0.2784,-1.0
20060106,13154,0.2756,0.2796,-1.0
20060109,13157,0.2777,0.2817,-1.0
20060110,13158,0.2781,0.2821,-1.0
20060111,13159,0.2775,0.2815,-1.0
20060112,13160,0.2776,0.2816,-1.0
20060113,13161,0.2774,0.2814,-1.0
20060116,13164,0.2773,0.2813,-1.0
20060117,13165,0.277,0.281,-1.0
20060118,13166,0.2769,0.2809,-1.0
20060119,13167,0.2767,0.2807,-1.0
20060120,13168,0.2766,0.2806,-1.0
20060123,13171,0.2769,0.2809,-1.0
20060124,13172,0.2773,0.2813,-1.0
20060125,13173,0.2763,0.2803,-1.0
20060126,13174,0.2747,0.2787,-1.0
20060127,13175,0.2731,0.2771,-1.0
20060203,13182,0.2691,0.2731,-1.0
20060206,13185,0.2686,0.2726,-1.0
20060207,13186,0.2703,0.2743,-1.0
20060208,13187,0.2726,0.2766,-1.0
20060209,13188,0.2713,0.2753,-1.0
20060210,13189,0.2723,0.2763,-1.0
20060213,13192,0.2728,0.2768,-1.0
20060214,13193,0.2734,0.2774,-1.0
20060215,13194,0.2733,0.2773,-1.0
20060216,13195,0.2732,0.2772,-1.0
20060217,13196,0.2727,0.2767,-1.0
20060220,13199,0.2721,0.2761,-1.0
20060221,13200,0.2718,0.2758,-1.0
20060222,13201,0.2733,0.2773,-1.0
20060223,13202,0.275,0.279,-1.0
20060224,13203,0.2766,0.2806,-1.0
20060227,13206,0.2774,0.2814,-1.0
20060301,13208,0.2768,0.2808,-1.0
20060302,13209,0.2764,0.2804,-1.0
20060303,13210,0.2767,0.2807,-1.0
20060306,13213,0.2757,0.2797,-1.0
20060307,13214,0.2743,0.2783,-1.0
20060308,13215,0.2748,0.2788,-1.0
20060309,13216,0.274,0.278,-1.0
20060310,13217,0.2732,0.2772,-1.0
20060313,13220,0.2718,0.2758,-1.0
20060314,13221,0.2717,0.2757,-1.0
20060315,13222,0.2738,0.2778,-1.0
20060316,13223,0.2738,0.2778,-1.0
20060317,13224,0.2761,0.2801,-1.0
20060320,13227,0.2773,0.2813,-1.0
20060321,13228,0.277,0.281,-1.0
20060322,13229,0.2759,0.2799,-1.0
20060323,13230,0.2768,0.2808,-1.0
20060324,13231,0.2749,0.2789,-1.0
20060327,13234,0.2771,0.2811,-1.0
20060328,13235,0.277,0.281,-1.0
20060329,13236,0.2747,0.2787,-1.0
20060330,13237,0.2745,0.2785,-1.0
20060331,13238,0.2744,0.2784,-1.0
20060403,13241,0.2731,0.2771,-1.0
20060404,13242,0.2748,0.2788,-1.0
20060406,13244,0.2731,0.2771,-1.0
20060407,13245,0.2729,0.2769,-1.0
20060410,13248,0.2722,0.2762,-1.0
20060411,13249,0.272,0.276,-1.0
20060412,13250,0.2729,0.2769,-1.0
20060413,13251,0.2726,0.2766,-1.0
20060414,13252,0.2718,0.2758,-1.0
20060417,13255,0.2726,0.2766,-1.0
20060418,13256,0.2732,0.2772,-1.0
20060419,13257,0.2749,0.2789,-1.0
20060420,13258,0.2729,0.2769,-1.0
20060421,13259,0.273,0.277,-1.0
20060424,13262,0.2761,0.2801,-1.0
20060425,13263,0.2776,0.2816,-1.0
20060426,13264,0.2762,0.2802,-1.0
20060427,13265,0.2763,0.2803,-1.0
20060428,13266,0.2772,0.2812,-1.0
20060502,13270,0.2772,0.2812,-1.0
20060503,13271,0.2772,0.2812,-1.0
20060504,13272,0.2764,0.2804,-1.0
20060505,13273,0.2764,0.2804,-1.0
20060508,13276,0.2801,0.2841,-1.0
20060509,13277,0.2797,0.2837,-1.0
20060510,13278,0.2811,0.2851,-1.0
20060511,13279,0.2803,0.2843,-1.0
20060512,13280,0.284,0.288,-1.0
20060515,13283,0.286,0.29,-1.0
20060516,13284,0.2867,0.2907,-1.0
20060517,13285,0.2875,0.2915,-1.0
20060518,13286,0.2854,0.2894,-1.0
20060519,13287,0.2838,0.2878,-1.0
20060522,13290,0.2835,0.2875,-1.0
20060523,13291,0.2853,0.2893,-1.0
20060524,13292,0.2842,0.2882,-1.0
20060525,13293,0.2827,0.2867,-1.0
