日期,日期間距,買進匯率,賣出匯率,差距
20060102,13150,32.76,32.86,-1.0
20060103,13151,32.59,32.69,-1.0
20060104,13152,32.35,32.45,-1.0
20060105,13153,31.96,32.06,-1.0
20060106,13154,32.14,32.24,-1.0
20060109,13157,31.9,32.0,-1.0
20060110,13158,31.97,32.07,-1.0
20060111,13159,32.02,32.12,-1.0
20060112,13160,31.83,31.93,-1.0
20060113,13161,31.94,32.04,-1.0
20060116,13164,31.88,31.98,-1.0
20060117,13165,31.95,32.05,-1.0
20060118,13166,32.07,32.17,-1.0
20060119,13167,32.09,32.19,-1.0
20060120,13168,32.07,32.17,-1.0
20060123,13171,31.93,32.03,-1.0
20060124,13172,31.93,32.03,-1.0
20060125,13173,31.92,32.02,-1.0
20060126,13174,31.92,32.02,-1.0
20060127,13175,31.93,32.03,-1.0
20060203,13182,32.04,32.14,-1.0
20060206,13185,32.04,32.14,-1.0
20060207,13186,32.18,32.28,-1.0
20060208,13187,32.3,32.4,-1.0
20060209,13188,32.37,32.47,-1.0
20060210,13189,32.21,32.31,-1.0
20060213,13192,32.32,32.42,-1.0
20060214,13193,32.25,32.35,-1.0
20060215,13194,32.3,32.4,-1.0
20060216,13195,32.35,32.45,-1.0
20060217,13196,32.34,32.44,-1.0
20060220,13199,32.35,32.45,-1.0
20060221,13200,32.43,32.53,-1.0
20060222,13201,32.6,32.7,-1.0
20060223,13202,32.52,32.62,-1.0
20060224,13203,32.44,32.54,-1.0
20060227,13206,32.4,32.5,-1.0
20060301,13208,32.23,32.33,-1.0
20060302,13209,32.26,32.36,-1.0
20060303,13210,32.35,32.45,-1.0
20060306,13213,32.42,32.52,-1.0
20060307,13214,32.47,32.57,-1.0
20060308,13215,32.48,32.58,-1.0
20060309,13216,32.47,32.57,-1.0
20060310,13217,32.46,32.56,-1.0
20060313,13220,32.45,32.55,-1.0
20060314,13221,32.38,32.48,-1.0
20060315,13222,32.35,32.45,-1.0
20060316,13223,32.39,32.49,-1.0
20060317,13224,32.38,32.48,-1.0
20060320,13227,32.38,32.48,-1.0
20060321,13228,32.45,32.55,-1.0
20060322,13229,32.51,32.61,-1.0
20060323,13230,32.53,32.63,-1.0
20060324,13231,32.62,32.72,-1.0
20060327,13234,32.52,32.62,-1.0
20060328,13235,32.53,32.63,-1.0
20060329,13236,32.55,32.65,-1.0
20060330,13237,32.49,32.59,-1.0
20060331,13238,32.41,32.51,-1.0
20060403,13241,32.54,32.64,-1.0
20060404,13242,32.43,32.53,-1.0
20060406,13244,32.28,32.38,-1.0
20060407,13245,32.28,32.38,-1.0
20060410,13248,32.35,32.45,-1.0
20060411,13249,32.4,32.5,-1.0
20060412,13250,32.48,32.58,-1.0
20060413,13251,32.44,32.54,-1.0
20060414,13252,32.43,32.53,-1.0
20060417,13255,32.41,32.51,-1.0
20060418,13256,32.44,32.54,-1.0
20060419,13257,32.36,32.46,-1.0
20060420,13258,32.26,32.36,-1.0
20060421,13259,32.26,32.36,-1.0
20060424,13262,31.94,32.04,-1.0
20060425,13263,31.94,32.04,-1.0
20060426,13264,32.0,32.1,-1.0
20060427,13265,31.87,31.97,-1.0
20060428,13266,31.86,31.96,-1.0
20060502,13270,31.72,31.82,-1.0
20060503,13271,31.57,31.67,-1.0
20060504,13272,31.64,31.74,-1.0
20060505,13273,31.6,31.7,-1.0
20060508,13276,31.33,31.43,-1.0
20060509,13277,31.45,31.55,-1.0
20060510,13278,31.29,31.39,-1.0
20060511,13279,31.41,31.51,-1.0
20060512,13280,31.35,31.45,-1.0
20060515,13283,31.59,31.69,-1.0
20060516,13284,31.76,31.86,-1.0
20060517,13285,31.52,31.62,-1.0
20060518,13286,31.8,31.9,-1.0
20060519,13287,31.9,32.0,-1.0
20060522,13290,32.09,32.19,-1.0
20060523,13291,31.94,32.04,-1.0
20060524,13292,31.96,32.06,-1.0
20060525,13293,32.05,32.15,-1.0
20060526,13294,31.99,32.09,-1.0
20060529,13297,31.97,32.07,-1.0
20060530,13298,31.97,32.07,-1.0
20060601,13300,32.04,32.14,-1.0
20060602,13301,32.03,32.13,-1.0
20060605,13304,32.0,32.1,-1.0
20060606,13305,32.01,32.11,-1.0
20060607,13306,32.17,32.27,-1.0
20060608,13307,32.46,32.56,-1.0
20060609,13308,32.39,32.49,-1.0
20060612,13311,32.49,32.59,-1.0
20060613,13312,32.61,32.71,-1.0
20060614,13313,32.54,32.64,-1.0
20060615,13314,32.49,32.59,-1.0
20060616,13315,32.43,32.53,-1.0
20060619,13318,32.55,32.65,-1.0
20060620,13319,32.55,32.65,-1.0
20060621,13320,32.58,32.68,-1.0
20060622,13321,32.59,32.69,-1.0
20060623,13322,32.66,32.76,-1.0
20060626,13325,32.68,32.78,-1.0
20060627,13326,32.62,32.72,-1.0
20060628,13327,32.6,32.7,-1.0
20060629,13328,32.56,32.66,-1.0
20060630,13329,32.33,32.43,-1.0
20060703,13332,32.25,32.35,-1.0
20060704,13333,32.19,32.29,-1.0
20060705,13334,32.34,32.44,-1.0
20060706,13335,32.41,32.51,-1.0
20060707,13336,32.35,32.45,-1.0
20060710,13339,32.29,32.39,-1.0
20060711,13340,32.4,32.5,-1.0
20060712,13341,32.44,32.54,-1.0
20060713,13342,32.53,32.63,-1.0
20060714,13343,32.64,32.74,-1.0
20060717,13346,32.81,32.91,-1.0
20060718,13347,32.81,32.91,-1.0
20060719,13348,32.85,32.95,-1.0
20060720,13349,32.69,32.79,-1.0
20060721,13350,32.7,32.8,-1.0
20060724,13353,32.81,32.91,-1.0
20060725,13354,32.74,32.84,-1.0
20060726,13355,32.8,32.9,-1.0
20060727,13356,32.71,32.81,-1.0
20060728,13357,32.74,32.84,-1.0
20060731,13360,32.71,32.81,-1.0
20060801,13361,32.77,32.87,-1.0
20060802,13362,32.82,32.92,-1.0
20060803,13363,32.82,32.92,-1.0
20060804,13364,32.82,32.92,-1.0
20060807,13367,32.75,32.85,-1.0
20060808,13368,32.77,32.87,-1.0
20060809,13369,32.74,32.84,-1.0
20060810,13370,32.53,32.63,-1.0
20060811,13371,32.59,32.69,-1.0
20060814,13374,32.7,32.8,-1.0
20060815,13375,32.71,32.81,-1.0
20060816,13376,32.69,32.79,-1.0
20060817,13377,32.58,32.68,-1.0
20060818,13378,32.61,32.71,-1.0
20060821,13381,32.64,32.74,-1.0
20060822,13382,32.71,32.81,-1.0
20060823,13383,32.73,32.83,-1.0
20060824,13384,32.8,32.9,-1.0
20060825,13385,32.84,32.94,-1.0
20060828,13388,32.87,32.97,-1.0
20060829,13389,32.82,32.92,-1.0
20060830,13390,32.86,32.96,-1.0
20060831,13391,32.86,32.96,-1.0
20060901,13392,32.83,32.93,-1.0
20060904,13395,32.7,32.8,-1.0
20060905,13396,32.71,32.81,-1.0
20060906,13397,32.76,32.86,-1.0
20060907,13398,32.82,32.92,-1.0
20060908,13399,32.83,32.93,-1.0
20060911,13402,32.87,32.97,-1.0
20060912,13403,32.86,32.96,-1.0
20060913,13404,32.84,32.94,-1.0
20060914,13405,32.87,32.97,-1.0
20060915,13406,32.89,32.99,-1.0
20060918,13409,32.88,32.98,-1.0
20060919,13410,32.85,32.95,-1.0
20060920,13411,32.86,32.96,-1.0
20060921,13412,32.84,32.94,-1.0
20060922,13413,32.89,32.99,-1.0
20060925,13416,32.89,32.99,-1.0
20060926,13417,32.89,32.99,-1.0
20060927,13418,32.91,33.01,-1.0
20060928,13419,32.95,33.05,-1.0
20060929,13420,33.05,33.15,-1.0
20061002,13423,33.08,33.18,-1.0
20061003,13424,33.01,33.11,-1.0
20061004,13425,33.07,33.17,-1.0
20061005,13426,33.04,33.14,-1.0
20061011,13432,33.25,33.35,-1.0
20061012,13433,33.19,33.29,-1.0
20061013,13434,33.08,33.18,-1.0
20061014,13435,33.12,33.22,-1.0
20061016,13437,33.18,33.28,-1.0
20061017,13438,33.11,33.21,-1.0
20061018,13439,33.13,33.23,-1.0
20061019,13440,33.15,33.25,-1.0
20061020,13441,33.16,33.26,-1.0
20061023,13444,33.22,33.32,-1.0
20061024,13445,33.26,33.36,-1.0
20061025,13446,33.27,33.37,-1.0
20061026,13447,33.22,33.32,-1.0
20061027,13448,33.24,33.34,-1.0
20061030,13451,33.17,33.27,-1.0
20061031,13452,33.21,33.31,-1.0
20061101,13453,33.12,33.22,-1.0
20061102,13454,32.98,33.08,-1.0
20061103,13455,32.87,32.97,-1.0
20061106,13458,32.9,33.0,-1.0
20061107,13459,32.79,32.89,-1.0
20061108,13460,32.82,32.92,-1.0
20061109,13461,32.81,32.91,-1.0
20061110,13462,32.76,32.86,-1.0
20061113,13465,32.68,32.78,-1.0
20061114,13466,32.71,32.81,-1.0
20061115,13467,32.76,32.86,-1.0
20061116,13468,32.79,32.89,-1.0
20061117,13469,32.88,32.98,-1.0
20061120,13472,32.89,32.99,-1.0
20061121,13473,32.82,32.92,-1.0
20061122,13474,32.76,32.86,-1.0
20061123,13475,32.74,32.84,-1.0
20061124,13476,32.78,32.88,-1.0
20061127,13479,32.65,32.75,-1.0
